rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate,train/std
-114.51467275,6272,394.52272727272725,3,1,20480,,,,,,,,,,,
-113.84520325333337,2086,466.52,19,2,40960,50,0.007366357,0.075728515625,-0.006072572441538796,-5.651366609811783,15.597172737121582,57.49738321948051,0.2,0.0011372566223144531,0.0003,0.9932572841644287
-113.19831663917526,1706,550.2783505154639,35,3,61440,100,0.007292623,0.0735546875,-0.008065253996901446,-5.634322710394859,2.9821672439575195,8.973952139496804,0.2,0.7270746231079102,0.0003,0.9900708794593811
-111.50107228,1561,608.39,52,4,81920,150,0.009376358,0.11690234375,-0.009347634278528858,-5.624376757502556,1.2159004211425781,3.141982634566724,0.2,0.8858298808336258,0.0003,0.9879156947135925
-109.14277240999999,1490,730.21,68,5,102400,200,0.009287156,0.105552734375,-0.01028177234751638,-5.596557822227478,2.352660894393921,6.7952271234989166,0.2,0.9293882697820663,0.0003,0.9807305932044983
-105.3587872,1447,747.35,84,6,122880,250,0.012169591,0.1591484375,-0.013001634468295378,-5.538047992825508,0.6853877902030945,1.3875687479414045,0.2,0.9614196494221687,0.0003,0.9666863679885864
-101.75459408999997,1418,793.01,101,7,143360,300,0.01217466,0.1365419921875,-0.012443696609901963,-5.482707448244095,0.6352561116218567,2.318828178986907,0.2,0.9470995850861073,0.0003,0.9511978626251221
-97.88744564999998,1399,871.45,117,8,163840,350,0.01485945,0.19583203125,-0.0133092471032287,-5.425746410250664,0.5854522585868835,1.0735178455952554,0.2,0.9428429715335369,0.0003,0.9398250579833984
-94.08129242999999,1379,901.0,133,9,184320,400,0.00951087,0.1073515625,-0.011936392425632221,-5.425123594999313,0.6406946778297424,1.676765393499285,0.2,0.901358500123024,0.0003,0.9384745359420776
-86.4946271,1364,1038.43,150,10,204800,450,0.013197695,0.1552646484375,-0.012425035473017487,-5.351398917555809,0.45601895451545715,1.020906888699159,0.2,0.9397765584290028,0.0003,0.9199010133743286
-82.50386303,1353,1083.32,166,11,225280,500,0.012350759,0.1483955078125,-0.012614882667956408,-5.269113847851753,0.21153877675533295,0.6132232295684517,0.2,0.9023831188678741,0.0003,0.9008979797363281
-78.84405166,1345,1113.39,182,12,245760,550,0.012167242,0.14434375,-0.01359697701309051,-5.211062115907669,0.19771642982959747,0.752521510552615,0.2,0.9492985419929028,0.0003,0.8893753886222839
-74.49923110000002,1340,1159.51,198,13,266240,600,0.012829128,0.15712890625,-0.014634378578368341,-5.124472089648247,0.12384691089391708,0.24903285994008184,0.2,0.9280148819088936,0.0003,0.871761679649353
-64.85872179,1332,1296.06,215,14,286720,650,0.0138095515,0.1544375,-0.015266189417015994,-5.065945794820785,0.047604531049728394,0.166675798650831,0.2,0.8976356312632561,0.0003,0.8576059937477112
-57.951968310000005,1327,1371.38,231,15,307200,700,0.01415045,0.1776435546875,-0.020696222677652257,-4.969495092153549,0.026009950786828995,0.10943692905455828,0.2,0.7622260451316833,0.0003,0.8382608890533447
-52.147400399999995,1322,1386.46,247,16,327680,750,0.013404513,0.1548916015625,-0.01505016772574163,-4.89894088435173,0.048634134232997894,0.20670739227719606,0.2,0.8928089290857315,0.0003,0.8236290216445923
-43.177516049999994,1319,1401.67,263,17,348160,800,0.015816644,0.1973525390625,-0.018034491858110412,-4.800282611727715,0.028650455176830292,0.20127186063863337,0.2,0.9195596426725388,0.0003,0.8022807240486145
-30.399088459999994,1314,1402.57,280,18,368640,850,0.016339505,0.1877578125,-0.014844339037896134,-4.7182403147220615,0.15240392088890076,0.2619167862087488,0.2,0.9142461642622948,0.0003,0.7846089005470276
-21.99744444,1310,1417.94,297,19,389120,900,0.015416351,0.158666015625,-0.014847183512116316,-4.662369455695153,0.6894304156303406,1.0631923991106451,0.2,0.9382583871483803,0.0003,0.7734946608543396
-12.16716503,1306,1432.82,313,20,409600,950,0.015917344,0.1990546875,-0.019954445847368333,-4.556823459029197,0.03529559448361397,0.13892607822455466,0.2,0.7742153704166412,0.0003,0.7555844187736511
0.7151087100000016,1303,1417.8,329,21,430080,1000,0.014668353,0.179291015625,-0.01838786098989658,-4.462057803869247,0.04132014513015747,0.1496359943598509,0.2,0.7801895886659622,0.0003,0.7378519773483276
13.70744958,1300,1448.61,346,22,450560,1050,0.016949922,0.19744921875,-0.01858083850928233,-4.348823846459389,0.062135133892297745,0.17036809610389173,0.2,0.9332878515124321,0.0003,0.7171941995620728
21.946331110000003,1298,1448.88,362,23,471040,1100,0.016118843,0.192287109375,-0.01991913815206499,-4.2408473471403125,0.02417517825961113,0.14555744078569113,0.2,0.8675263673067093,0.0003,0.7004458904266357
34.038567300000004,1297,1479.33,378,24,491520,1150,0.016550282,0.194181640625,-0.014945170940991374,-4.164283113002777,0.05703941360116005,0.28915719355642794,0.2,0.8190961182117462,0.0003,0.6826061010360718
49.66352296,1296,1509.66,394,25,512000,1200,0.016445512,0.200234375,-0.019677391849807463,-4.045074925661087,0.04725337028503418,0.14339185218699277,0.2,0.864064946770668,0.0003,0.6655365228652954
